url;status;redirects;final_url;time_ms;indexable;title;h1;canonical;meta_robots;x_robots_tag;content_type;size_bytes;issues;error
https://www.karol-leszczynski.pl/;200;0;https://www.karol-leszczynski.pl/;123;tak;Karol Leszczyński — Strony WWW, sklepy, aplikacje AI | Toruń;Masz pomysł na produkt, sklep, usługę online? Zbuduję ją dla Ciebie od projektu do wdrożenia.;https://www.karol-leszczynski.pl/;;;text/html;56545;;
https://www.karol-leszczynski.pl/blog/;200;0;https://www.karol-leszczynski.pl/blog/;142;tak;Blog programisty o programowaniu — artykuły o Web Dev, Astro i SEO | Karol Leszczyński;Blog;https://www.karol-leszczynski.pl/blog/;;;text/html;50090;tytuł >65 zn.;
https://www.karol-leszczynski.pl/blog/15-stron-w-astro-na-aws/;200;0;https://www.karol-leszczynski.pl/blog/15-stron-w-astro-na-aws/;133;tak;Jak zbudowałem 15+ stron w Astro na AWS za mniej niż 1 dolar miesięcznie — case study full-stack developera | Karol Leszczyński;Jak zbudowałem 15+ stron w Astro na AWS za mniej niż 1 dolar miesięcznie — case study full-stack developera;https://www.karol-leszczynski.pl/blog/15-stron-w-astro-na-aws/;;;text/html;47875;tytuł >65 zn.;
https://www.karol-leszczynski.pl/blog/ai-w-aplikacjach/;200;0;https://www.karol-leszczynski.pl/blog/ai-w-aplikacjach/;152;tak;AI w aplikacjach — kiedy to overkill, a kiedy jedyne sensowne rozwiązanie | Karol Leszczyński;AI w aplikacjach — kiedy to overkill, a kiedy jedyne sensowne rozwiązanie;https://www.karol-leszczynski.pl/blog/ai-w-aplikacjach/;;;text/html;55281;tytuł >65 zn.;
https://www.karol-leszczynski.pl/blog/astro-framework/;200;0;https://www.karol-leszczynski.pl/blog/astro-framework/;139;tak;Astro — framework, który zmienił zasady gry w budowaniu stron internetowych | Karol Leszczyński;Astro — framework, który zmienił zasady gry w budowaniu stron internetowych;https://www.karol-leszczynski.pl/blog/astro-framework/;;;text/html;48866;tytuł >65 zn.;
https://www.karol-leszczynski.pl/blog/dlaczego-90-aplikacji-ai-to-nakladki/;200;0;https://www.karol-leszczynski.pl/blog/dlaczego-90-aplikacji-ai-to-nakladki/;115;tak;Dlaczego 90% aplikacji AI to nakładki na API — i czemu to nie wystarczy | Karol Leszczyński;Dlaczego 90% aplikacji AI to nakładki na API — i czemu to nie wystarczy;https://www.karol-leszczynski.pl/blog/dlaczego-90-aplikacji-ai-to-nakladki/;;;text/html;48868;tytuł >65 zn.;
https://www.karol-leszczynski.pl/blog/formularz-kontaktowy-na-statycznej-stronie/;200;0;https://www.karol-leszczynski.pl/blog/formularz-kontaktowy-na-statycznej-stronie/;169;tak;Formularz kontaktowy na statycznej stronie — Lambda, SES, S3 i zero backendu | Karol Leszczyński;Formularz kontaktowy na statycznej stronie — Lambda, SES, S3 i zero backendu;https://www.karol-leszczynski.pl/blog/formularz-kontaktowy-na-statycznej-stronie/;;;text/html;86971;tytuł >65 zn.;
https://www.karol-leszczynski.pl/blog/jak-obs%C5%82uguje-30-domen-na-aws/;200;0;https://www.karol-leszczynski.pl/blog/jak-obs%C5%82uguje-30-domen-na-aws/;135;tak;Jak obsługuję 30+ domen na AWS za ~$117 miesięcznie — praktyczny przewodnik po infrastrukturze | Karol Leszczyński;Jak obsługuję 30+ domen na AWS za ~$117 miesięcznie — praktyczny przewodnik po infrastrukturze;https://www.karol-leszczynski.pl/blog/jak-obs%C5%82uguje-30-domen-na-aws/;;;text/html;52824;tytuł >65 zn.;
https://www.karol-leszczynski.pl/blog/jeden-scraper-trzy-aplikacje-ai/;200;0;https://www.karol-leszczynski.pl/blog/jeden-scraper-trzy-aplikacje-ai/;172;tak;Jeden scraper, trzy aplikacje AI — jak zbudowałem centralny mikroserwis do web researchu | Karol Leszczyński;Jeden scraper, trzy aplikacje AI — jak zbudowałem centralny mikroserwis do web researchu;https://www.karol-leszczynski.pl/blog/jeden-scraper-trzy-aplikacje-ai/;;;text/html;56920;tytuł >65 zn.;
https://www.karol-leszczynski.pl/blog/matury-online-pl-saas-architektura/;200;0;https://www.karol-leszczynski.pl/blog/matury-online-pl-saas-architektura/;112;tak;Jak zbudowałem matury-online.pl — od statycznego SEO do pełnego SaaS w pół roku | Karol Leszczyński;Jak zbudowałem matury-online.pl — od statycznego SEO do pełnego SaaS w pół roku;https://www.karol-leszczynski.pl/blog/matury-online-pl-saas-architektura/;;;text/html;39344;tytuł >65 zn.;
